Edge map size: 36

[775, 656] [775, 732] 2

[610, 659] [602, 652] 2.12132

[631, 645] [624, 637] 2.12132

[328, 621] [249, 621] 3

[249, 621] [248, 598] 5.90746

[248, 731] [248, 625] 2.40292

[993, 551] [930, 551] 2

[887, 551] [836, 552] 4

[215, 422] [204, 423] 3

[328, 422] [316, 422] 0

[90, 424] [101, 425] 2

[559, 405] [557, 461] 2.81963

[557, 461] [558, 507] 3.10796

[450, 510] [556, 511] 1

[452, 604] [556, 604] 4

[558, 606] [558, 690] 2

[665, 602] [563, 602] 2

[560, 599] [560, 517] 2

[564, 512] [664, 510] 3

[216, 400] [205, 400] 0

[102, 400] [90, 400] 0

[421, 49] [447, 50] 3

[451, 313] [451, 50] 3.50934

[451, 50] [568, 49] 4

[586, 334] [566, 316] 8

[734, 463] [726, 456] 7

[996, 410] [996, 734] 3

[900, 735] [377, 735] 3

[373, 625] [372, 735] 4.50875

[372, 735] [28, 734] 2

[28, 734] [29, 551] 2.25736

[29, 551] [243, 550] 3

[29, 548] [28, 369] 4.0167

[30, 367] [357, 367] 3

[357, 50] [381, 49] 4

[354, 47] [354, 364] 3

