Edge map size: 42

[446, 748] [257, 748] 3

[648, 671] [647, 748] 4.5191

[647, 748] [572, 748] 2

[134, 748] [45, 748] 3

[45, 748] [43, 671] 5.52457

[649, 580] [648, 595] 4.78937

[646, 597] [646, 614] 6

[648, 616] [648, 632] 4

[42, 633] [44, 613] 6.96526

[44, 613] [43, 576] 4.33267

[652, 543] [653, 511] 3.52953

[42, 539] [43, 511] 3.53346

[649, 420] [648, 437] 4.58032

[646, 439] [646, 456] 6

[648, 458] [648, 472] 4

[42, 473] [43, 417] 3.5173

[652, 383] [653, 351] 3.52953

[42, 379] [43, 351] 3.53346

[42, 314] [43, 301] 5.98233

[41, 299] [41, 280] 2.50968

[43, 278] [43, 265] 5

[646, 282] [646, 299] 7

[818, 281] [798, 280] 2

[739, 222] [792, 223] 3

[792, 223] [791, 281] 6.5401

[791, 281] [658, 281] 3

[658, 281] [657, 223] 6

[657, 223] [679, 222] 3

[984, 200] [985, 280] 5.48707

[985, 280] [941, 281] 3

[43, 226] [43, 198] 4.51456

[990, 137] [991, 105] 5.52855

[42, 160] [44, 123] 6.04623

[44, 123] [43, 97] 4.30943

[954, 22] [984, 22] 3

[984, 22] [984, 42] 6

[648, 21] [880, 22] 2

[521, 22] [575, 22] 2

[384, 22] [448, 21] 3

[174, 21] [310, 22] 2

[44, 51] [44, 22] 6

[44, 22] [102, 22] 3

