Edge map size: 25

[440, 552] [579, 552] 5

[150, 551] [287, 551] 6

[484, 540] [514, 541] 7

[205, 539] [236, 540] 6

[365, 544] [365, 44] 4.50099

[469, 40] [691, 41] 5

[691, 41] [691, 546] 5

[645, 552] [691, 553] 6

[691, 553] [691, 727] 5

[691, 727] [584, 728] 7

[579, 637] [437, 637] 4

[432, 552] [432, 641] 4.54416

[578, 642] [580, 734] 4.148

[403, 35] [313, 36] 5

[149, 732] [150, 642] 5.57743

[295, 641] [295, 552] 4

[291, 637] [150, 637] 5

[143, 728] [86, 728] 6

[77, 728] [37, 727] 6

[37, 727] [37, 552] 5

[80, 545] [37, 544] 8

[37, 544] [37, 387] 5

[37, 379] [37, 94] 5

[37, 90] [37, 41] 4.04304

[37, 41] [249, 40] 6

