Edge map size: 21

[278, 515] [250, 515] 4

[827, 421] [772, 422] 3

[29, 409] [243, 408] 4

[245, 410] [245, 427] 3

[33, 406] [31, 370] 2.49615

[31, 370] [32, 314] 2.70511

[29, 224] [28, 234] 2.5871

[758, 28] [992, 29] 2

[992, 29] [992, 420] 3

[992, 425] [991, 515] 1.29992

[991, 515] [884, 514] 3

[884, 514] [884, 492] 4

[884, 483] [884, 426] 4

[886, 424] [940, 424] 3

[880, 515] [771, 515] 3

[771, 515] [770, 422] 4.49436

[765, 515] [375, 514] 3

[375, 514] [323, 515] 4

[32, 146] [31, 30] 3.47401

[668, 26] [555, 24] 2

[555, 24] [29, 24] 3

