10 [356, 728] [304, 743] 0 4

3 [304, 743] [292, 741] 1 3

0 [283, 737] [261, 732] 2 3

0 [255, 734] [303, 747] 3 2

4 [29, 572] [29, 666] 0 5

1 [29, 666] [39, 671] 1 4

3 [39, 671] [88, 684] 2 3

3 [87, 680] [49, 670] 3 2

2 [844, 542] [887, 541] 0 1

2 [887, 539] [843, 540] 1 0

3 [594, 539] [571, 540] 0 6

4 [571, 540] [571, 662] 1 5

10 [567, 666] [522, 679] 2 3

10 [522, 682] [562, 672] 3 2

4 [991, 453] [991, 536] 0 3

2 [988, 539] [964, 539] 1 2

4 [397, 394] [491, 394] 0 1

3 [29, 383] [29, 479] 0 1

3.51871 [321, 310] [320, 389] 0 3

4 [323, 394] [347, 394] 1 2

4 [327, 313] [569, 313] 4 21

4 [572, 316] [572, 455] 5 6

3 [579, 405] [657, 405] 7 25

5 [660, 408] [660, 448] 8 17

5 [660, 457] [660, 536] 9 17

3 [657, 539] [642, 539] 10 12

10 [641, 541] [660, 543] 11 28

3 [767, 539] [728, 539] 13 12

2.49892 [725, 536] [726, 502] 14 15

2.49892 [722, 502] [723, 536] 15 14

3 [720, 539] [668, 539] 16 12

3 [668, 405] [719, 405] 18 25

3 [722, 408] [722, 426] 19 14

3 [722, 316] [722, 398] 23 14

4 [659, 309] [572, 308] 28 4

3 [995, 378] [994, 283] 0 1

3 [991, 285] [991, 307] 1 0

2 [988, 310] [789, 309] 2 3

3 [991, 315] [991, 378] 4 0

3 [29, 207] [29, 290] 0 1

4 [991, 133] [991, 209] 0 1

3 [928, 32] [988, 32] 0 3

4 [991, 35] [991, 58] 1 2

3 [524, 32] [569, 32] 0 26

4 [572, 35] [572, 244] 1 4

3 [574, 246] [615, 244] 2 3

2 [614, 242] [579, 242] 3 9

3 [579, 32] [718, 32] 5 26

3.31162 [721, 34] [720, 188] 6 23

5 [717, 191] [669, 191] 7 11

4 [667, 193] [667, 239] 8 10

4 [720, 199] [720, 238] 12 16

3.37465 [786, 254] [784, 228] 14 18

3 [727, 134] [778, 134] 17 20

3 [724, 32] [778, 32] 24 26

3 [787, 32] [850, 32] 25 26

2 [250, 32] [446, 31] 0 1

2 [445, 29] [249, 30] 1 0

3 [76, 29] [31, 29] 0 3

4 [29, 31] [29, 114] 1 2

