Edge map size: 61

[382, 598] [478, 597] 3

[209, 598] [287, 597] 3

[855, 593] [856, 538] 2.50868

[994, 534] [927, 534] 0

[115, 596] [36, 596] 2

[34, 594] [34, 544] 3.37634

[34, 540] [34, 521] 4

[749, 512] [702, 513] 3

[685, 594] [674, 595] 4

[672, 593] [674, 570] 7.42393

[674, 570] [674, 512] 6

[580, 514] [667, 515] 2

[668, 594] [547, 595] 4

[524, 594] [524, 515] 4

[195, 479] [205, 472] 4

[208, 471] [223, 460] 6

[161, 454] [170, 443] 2.12132

[991, 423] [991, 442] 3

[991, 444] [990, 529] 3.388

[579, 380] [579, 483] 4

[579, 483] [332, 483] 3

[578, 376] [519, 374] 4

[519, 374] [376, 374] 5

[376, 374] [326, 376] 5

[33, 450] [34, 349] 2.50483

[610, 244] [609, 258] 8.05092

[622, 245] [610, 244] 14

[753, 199] [752, 314] 3.57378

[751, 323] [748, 450] 3.61802

[753, 445] [781, 444] 4

[783, 446] [783, 511] 4

[783, 511] [753, 512] 4

[783, 516] [784, 593] 3.688

[782, 595] [753, 596] 3

[895, 592] [930, 593] 3

[934, 593] [948, 593] 4

[993, 538] [982, 538] 4

[978, 538] [960, 538] 4

[955, 538] [944, 538] 4

[925, 537] [902, 537] 5

[898, 537] [864, 537] 4

[871, 542] [896, 541] 4

[966, 590] [924, 589] 8

[882, 589] [866, 588] 9

[860, 593] [890, 592] 3

[892, 595] [787, 594] 4

[832, 444] [933, 443] 3

[986, 594] [949, 594] 4

[600, 199] [599, 221] 4.35914

[696, 319] [663, 319] 3

[663, 319] [614, 305] 7

[605, 301] [605, 261] 5

[603, 258] [603, 200] 3.80375

[990, 198] [990, 352] 5

[989, 194] [919, 194] 3

[557, 199] [597, 197] 5

[597, 197] [694, 197] 3

[709, 197] [823, 197] 3

[201, 197] [450, 197] 3

[34, 277] [34, 199] 3.48755

[36, 197] [105, 197] 3

