6 [682, 548] [681, 496] 5 4

6 [681, 496] [703, 494] 6 2

6 [748, 427] [748, 441] 7 8

1.41421 [666, 375] [674, 367] 10 9

5 [748, 324] [748, 340] 11 12

5 [581, 268] [567, 267] 13 31

8 [397, 338] [431, 336] 18 34

5 [433, 490] [351, 490] 21 22

6 [622, 489] [551, 488] 23 22

6 [551, 488] [442, 490] 24 22

5 [440, 488] [440, 443] 25 20

5.30304 [440, 439] [440, 361] 26 19

6 [440, 359] [440, 276] 27 19

5 [453, 274] [489, 275] 29 15

7 [489, 275] [546, 273] 30 14

6 [550, 273] [581, 273] 31 14

6 [398, 275] [434, 276] 32 15

5 [397, 330] [396, 282] 35 16

0 [694, 271] [704, 280] 38 39

6 [697, 265] [685, 266] 40 37

5.52636 [681, 264] [681, 214] 41 36

4.35322 [233, 497] [235, 593] 44 56

7 [674, 661] [675, 705] 48 47

6 [673, 707] [381, 707] 49 46

3.99547 [373, 661] [374, 682] 51 50

4.82495 [374, 690] [374, 704] 52 50

6 [372, 707] [241, 707] 53 46

5 [241, 707] [240, 695] 54 45

5 [240, 674] [240, 574] 56 45

6.20295 [372, 572] [374, 620] 58 59

7 [379, 567] [294, 567] 60 57

5.79828 [287, 554] [288, 565] 62 61

6 [286, 567] [240, 566] 63 57

5 [287, 497] [287, 510] 66 67

6 [305, 491] [286, 490] 69 65

6 [286, 490] [241, 492] 70 65

5.57014 [239, 490] [239, 394] 71 43

8 [239, 394] [263, 392] 72 86

6 [263, 392] [328, 392] 73 86

7 [328, 326] [328, 277] 75 80

5.61322 [328, 269] [327, 258] 76 80

7.11431 [328, 251] [325, 176] 77 80

5 [314, 332] [239, 331] 81 88

5.99838 [239, 331] [235, 158] 82 42

4 [235, 148] [235, 118] 84 42

6.56487 [323, 339] [322, 386] 85 74

5.10098 [239, 386] [240, 338] 87 42

6 [255, 45] [229, 45] 90 89

6 [331, 51] [343, 51] 92 95

4 [351, 49] [365, 50] 93 95

3 [389, 48] [403, 49] 94 95

6 [455, 49] [473, 49] 99 98

5 [484, 49] [536, 47] 100 98

7 [536, 47] [588, 48] 101 97

7 [588, 48] [674, 46] 102 97

6.57038 [676, 48] [675, 96] 103 96

