Edge map size: 53

[252, 732] [282, 742] 3

[282, 742] [304, 747] 2

[304, 747] [328, 739] 12

[328, 739] [353, 733] 9

[87, 680] [37, 666] 6

[33, 663] [34, 571] 3.48435

[844, 543] [887, 543] 3

[558, 669] [521, 679] 7

[575, 667] [575, 544] 5

[575, 544] [595, 543] 4

[725, 537] [726, 501] 2.5268

[991, 452] [991, 538] 3

[991, 538] [963, 539] 4

[396, 394] [493, 393] 4

[30, 381] [29, 480] 3.51497

[349, 390] [324, 389] 5

[324, 389] [325, 314] 4.53209

[325, 314] [571, 314] 5

[576, 450] [576, 407] 4.19708

[578, 405] [660, 406] 3

[660, 406] [660, 450] 5

[660, 456] [660, 538] 5

[660, 538] [641, 539] 4

[768, 539] [665, 538] 4

[665, 406] [721, 405] 4

[721, 405] [722, 427] 6.5387

[722, 315] [722, 400] 4

[576, 400] [576, 315] 5

[576, 315] [660, 314] 7

[988, 309] [787, 309] 5

[992, 282] [991, 379] 2.51533

[29, 206] [30, 293] 2.51708

[992, 131] [991, 210] 2.51879

[784, 45] [785, 35] 3.58213

[671, 239] [672, 196] 3.52988

[672, 196] [719, 196] 6

[719, 196] [720, 239] 5.20789

[781, 228] [781, 239] 4

[779, 241] [726, 241] 4

[724, 239] [724, 135] 4

[780, 134] [781, 154] 3.89513

[781, 118] [780, 130] 4.83607

[780, 130] [727, 130] 5

[724, 128] [724, 35] 3.30121

[927, 32] [990, 32] 4

[990, 32] [991, 59] 3.55312

[615, 242] [578, 242] 4

[576, 240] [576, 34] 4

[578, 32] [851, 32] 4

[523, 32] [570, 32] 3

[446, 28] [248, 29] 4

[34, 115] [33, 34] 3.48253

[35, 32] [77, 32] 4

