7 [40, 434] [40, 729] 0 3

6 [42, 731] [583, 731] 1 2

6 [583, 725] [50, 725] 2 1

7 [47, 722] [47, 434] 3 0

7 [239, 38] [43, 38] 0 3

6 [41, 40] [41, 323] 1 2

6 [47, 323] [47, 48] 2 1

7 [50, 45] [239, 45] 3 0

7 [338, 45] [974, 43] 0 5

6.99997 [977, 46] [975, 722] 1 4

6 [972, 725] [703, 725] 2 3

6 [703, 731] [980, 731] 3 2

6.99997 [982, 729] [984, 39] 4 1

7 [982, 37] [337, 38] 5 0

