Edge map size: 25

[482, 540] [515, 541] 5

[203, 539] [236, 540] 6

[365, 544] [365, 43] 4.49999

[469, 40] [691, 41] 5

[691, 41] [691, 378] 4

[691, 387] [691, 545] 4

[644, 552] [691, 553] 7

[691, 553] [691, 727] 4

[691, 727] [585, 728] 7

[578, 637] [438, 637] 5

[436, 635] [437, 547] 4.43153

[439, 552] [578, 552] 7

[579, 644] [580, 734] 5.16904

[404, 35] [314, 35] 5

[148, 734] [149, 644] 4.59972

[150, 551] [290, 550] 4

[290, 550] [291, 636] 6

[291, 636] [150, 637] 6

[143, 728] [86, 728] 5

[77, 728] [37, 727] 5

[37, 727] [37, 552] 5

[81, 545] [37, 544] 8

[37, 544] [37, 387] 5

[37, 378] [37, 41] 4.24928

[37, 41] [249, 40] 6

