Edge map size: 68

[153, 671] [104, 672] 3

[62, 671] [24, 670] 3

[24, 670] [23, 609] 0.468693

[415, 572] [396, 573] 3

[303, 575] [326, 575] 3

[234, 671] [196, 671] 2

[238, 673] [238, 577] 2.4582

[259, 572] [239, 571] 4

[239, 571] [238, 487] 2.48218

[552, 573] [475, 571] 4

[475, 571] [475, 404] 2.98803

[159, 439] [158, 398] 3.53553

[24, 439] [23, 401] 2.65697

[24, 528] [24, 491] 2

[24, 486] [24, 446] 1.51176

[26, 444] [155, 444] 3

[187, 487] [159, 486] 3

[159, 486] [159, 445] 3.49901

[159, 445] [187, 444] 3

[675, 313] [674, 569] 2.81248

[601, 574] [674, 575] 3

[676, 577] [676, 739] 1

[694, 736] [678, 735] 4

[23, 354] [24, 330] 0.092305

[26, 328] [70, 328] 3

[72, 330] [155, 329] 5

[158, 359] [159, 330] 2.48128

[187, 325] [159, 324] 4

[159, 324] [159, 280] 4

[159, 280] [188, 279] 4

[24, 324] [24, 280] 2

[24, 274] [24, 224] 2

[998, 221] [950, 222] 3

[851, 224] [873, 224] 3

[875, 226] [875, 369] 3

[998, 370] [878, 369] 3

[878, 225] [915, 224] 4

[731, 224] [789, 225] 3

[730, 320] [729, 275] 4.02123

[729, 369] [730, 323] 2.75774

[730, 323] [788, 323] 4

[792, 369] [793, 305] 3

[872, 301] [792, 300] 5

[792, 300] [792, 225] 3

[792, 225] [815, 224] 4

[677, 237] [678, 223] 1.99914

[678, 221] [678, 197] 3

[238, 279] [239, 197] 1.51208

[551, 190] [519, 191] 3

[486, 190] [458, 191] 3

[416, 190] [389, 191] 3

[385, 190] [334, 191] 6

[331, 190] [305, 191] 3

[375, 180] [345, 180] 5

[1000, 178] [1001, 734] 1.4964

[999, 736] [987, 736] 3

[204, 95] [235, 96] 3

[262, 190] [238, 189] 3

[238, 189] [238, 93] 3

[160, 92] [103, 93] 3

[23, 143] [24, 96] 0.479904

[24, 96] [60, 94] 4

[953, 29] [999, 29] 3

[1001, 31] [1000, 95] 2.46845

[795, 28] [882, 29] 2

[676, 27] [676, 188] 2

[674, 190] [621, 190] 2

[678, 30] [725, 29] 3

