4 [247, 519] [277, 519] 0 1

4 [277, 515] [252, 515] 1 0

3 [28, 315] [28, 407] 0 5

2 [30, 409] [242, 408] 1 4

4 [245, 411] [245, 425] 2 3

4 [249, 425] [249, 408] 3 2

2 [247, 406] [35, 406] 4 1

3 [32, 403] [31, 315] 5 0

3 [994, 25] [759, 25] 0 1

3 [760, 28] [989, 28] 1 0

4 [992, 31] [992, 418] 2 18

4 [992, 427] [992, 512] 3 18

4 [989, 515] [887, 515] 4 17

3 [884, 512] [884, 490] 5 9

3 [884, 482] [884, 427] 6 9

2 [887, 424] [939, 424] 7 13

2 [939, 421] [872, 422] 8 12

3 [881, 427] [881, 512] 9 5

4 [878, 515] [772, 515] 10 17

3 [769, 512] [770, 426] 11 14

1 [773, 423] [825, 424] 12 13

1 [826, 422] [768, 421] 13 12

3 [766, 423] [766, 512] 14 11

4 [763, 515] [375, 514] 15 17

5 [375, 514] [324, 515] 16 17

4 [324, 519] [994, 519] 17 4

4 [996, 517] [996, 27] 18 2

3 [31, 145] [31, 30] 0 4

1 [34, 27] [666, 28] 1 2

1 [667, 26] [555, 24] 2 1

3 [555, 24] [30, 24] 3 1

3 [28, 26] [28, 144] 4 0

