Edge map size: 76

[262, 685] [263, 623] 1.51593

[261, 566] [260, 579] 2.07081

[22, 606] [23, 583] 0

[23, 579] [22, 560] 1.20885

[897, 514] [898, 478] 2.5268

[898, 478] [999, 477] 2

[723, 575] [723, 461] 0

[22, 500] [23, 472] 0.184195

[25, 470] [259, 470] 2

[259, 470] [260, 535] 2.67661

[260, 449] [259, 468] 3.11474

[24, 468] [23, 424] 2.8629

[636, 533] [637, 380] 1.50324

[411, 533] [380, 531] 2

[379, 523] [381, 456] 4.02845

[496, 533] [467, 531] 2

[467, 531] [468, 516] 3.10639

[468, 507] [468, 494] 5

[468, 494] [466, 474] 4.87568

[468, 456] [548, 456] 3

[582, 532] [552, 531] 2

[552, 531] [552, 457] 3.49302

[632, 455] [552, 453] 3

[552, 381] [585, 381] 3

[549, 381] [550, 452] 3

[467, 453] [466, 429] 2.49783

[466, 429] [468, 402] 3.91152

[468, 392] [468, 381] 5

[468, 381] [497, 380] 3

[463, 454] [381, 454] 2

[381, 454] [379, 391] 4.0624

[379, 391] [380, 381] 4.47767

[380, 381] [399, 381] 3

[723, 358] [723, 347] 0

[905, 344] [852, 344] 0

[738, 344] [720, 344] 0

[527, 328] [387, 327] 2

[106, 322] [259, 323] 1

[259, 323] [260, 418] 3.51559

[101, 306] [100, 320] 2.56489

[100, 320] [22, 320] 2

[24, 363] [24, 322] 3.04417

[1004, 345] [911, 344] 1

[911, 344] [910, 262] 2.51201

[1002, 347] [1000, 578] 1.99992

[377, 687] [25, 687] 1

[23, 685] [22, 665] 1.54807

[380, 689] [381, 582] 0.532687

[383, 580] [1002, 580] 2

[35, 265] [100, 266] 2

[38, 263] [38, 207] 2.49117

[416, 263] [417, 133] 1.50765

[576, 267] [576, 131] 0

[823, 205] [743, 204] 2

[740, 130] [740, 203] 2.48626

[740, 203] [718, 205] 4

[718, 205] [659, 205] 2

[655, 236] [656, 207] 2.55772

[740, 281] [656, 282] 3

[824, 282] [743, 282] 2

[743, 282] [742, 208] 2.48626

[824, 207] [824, 227] 2

[730, 128] [698, 128] 0

[889, 128] [906, 128] 2

[908, 130] [909, 202] 0.527727

[769, 127] [802, 129] 0

[802, 129] [823, 128] 2

[826, 156] [827, 130] 0.499631

[829, 128] [848, 127] 1

[634, 129] [653, 130] 3

[653, 130] [652, 159] 1.51634

[533, 128] [593, 129] 2

[37, 146] [38, 114] 1.5305

[414, 22] [414, 129] 1

[464, 127] [416, 126] 3

[37, 53] [39, 20] 2.52832

