Edge map size: 47

[603, 605] [715, 606] 2

[422, 605] [475, 607] 2

[475, 607] [556, 606] 4

[306, 606] [354, 607] 3

[354, 607] [387, 605] 4

[167, 606] [228, 606] 2

[681, 601] [682, 542] 1.50826

[23, 529] [23, 604] 3

[40, 606] [90, 606] 4

[539, 600] [539, 523] 2.49364

[539, 523] [550, 522] 3

[791, 446] [781, 447] 3

[794, 429] [793, 533] 2.82679

[742, 535] [792, 536] 2

[794, 538] [794, 601] 2

[792, 603] [761, 603] 3

[604, 447] [603, 425] 2.67905

[604, 450] [628, 451] 4

[628, 451] [628, 517] 1

[626, 519] [603, 519] 2

[628, 523] [629, 601] 0.961459

[632, 450] [656, 449] 3

[656, 449] [743, 449] 3

[467, 381] [372, 379] 2

[372, 379] [263, 380] 4

[265, 491] [292, 493] 3

[292, 493] [374, 492] 4

[385, 492] [466, 492] 3

[466, 492] [468, 408] 1.35637

[468, 408] [467, 381] 3.99726

[26, 456] [28, 409] 5.29934

[28, 409] [27, 353] 3.28416

[658, 207] [644, 206] 9

[602, 202] [602, 322] 2

[533, 323] [524, 315] 2

[532, 326] [601, 326] 4

[601, 326] [602, 389] 3.99992

[604, 388] [605, 357] 2.26956

[480, 282] [491, 292] 5

[483, 281] [483, 202] 2.49364

[736, 199] [792, 199] 3

[794, 201] [794, 356] 2

[660, 196] [530, 197] 3

[492, 196] [435, 197] 3

[359, 196] [159, 197] 3

[27, 280] [27, 200] 3.48785

[27, 200] [84, 199] 3

